Year,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2027,2027,2027,2027,2027,2028,2028,2028,2028,2028,2029,2029,2029,2029,2029,2030,2030,2030,2030,2030
Radius,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m,5m
Age,Under 25,25-34,35-54,55-74,75+,Under 25,25-34,35-54,55-74,75+,Under 25,25-34,35-54,55-74,75+,Under 25,25-34,35-54,55-74,75+,Under 25,25-34,35-54,55-74,75+,Under 25,25-34,35-54,55-74,75+
Total households,4935.0,19327.0,42608.0,33924.0,10892.0,4987.8,19049.6,42635.0,33880.8,11403.8,5040.6,18772.2,42662.0,33837.6,11915.6,5093.4,18494.8,42689.0,33794.4,12427.4,5146.2,18217.4,42716.0,33751.2,12939.2,5199.0,17940.0,42743.0,33708.0,13451.0
Households with income $75k+,1335.0,9973.0,26376.0,17611.0,3753.0,1399.6,10060.6,26884.6,18069.2,4125.0,1464.2,10148.2,27393.2,18527.4,4497.0,1528.8,10235.8,27901.8,18985.6,4869.0,1593.4,10323.4,28410.4,19443.8,5241.0,1658.0,10411.0,28919.0,19902.0,5613.0
Households with income $100k+,763.0,7449.0,22273.0,14305.0,2701.0,811.2,7589.8,22805.6,14793.8,3034.4,859.4,7730.6,23338.2,15282.6,3367.8,907.6,7871.4,23870.8,15771.4,3701.2,955.8,8012.2,24403.4,16260.2,4034.6000000000004,1004.0,8153.0,24936.0,16749.0,4368.0
Households with income $125k+,208.0,3717.0,14572.0,8854.0,1519.0,223.6,3856.4,15026.4,9277.6,1756.2,239.2,3995.8,15480.8,9701.2,1993.4,254.8,4135.2,15935.2,10124.8,2230.6,270.4,4274.6,16389.6,10548.4,2467.8,286.0,4414.0,16844.0,10972.0,2705.0
