,Age Bin,Hispanic,Black,Asian,White,Other
0,under 15,29092,47575,10340,30411,33749
1,15 to 19,10062,16769,3529,9625,11051
2,19 to 34,32681,67474,19791,59187,35576
3,35 to 64,42041,111896,25063,98956,48303
4,65 to 74,3839,27327,5044,25448,5422
5,75+,2738,19386,3895,25463,3901
