0 - 2 mile,,,,,2 - 5 mile,,,,,5 - 8 mile,,,,,,,,,,,,
Trends 2025 - 2030,Area,State,National,,Trends 2025 - 2030,Area,State,National,,Trends 2025 - 2030,Area,State,National,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
40-44,"3,940",6.7%,"4,540",7.7%,"4,372",7.4%,,40-44,"14,217",6.6%,"15,353",7.0%,"16,293",7.3%,,40-44,"31,057",7.0%,"33,610",7.4%,"34,646",7.5%
45-49,"3,643",6.2%,"3,548",6.0%,"4,079",6.9%,,45-49,"13,814",6.4%,"14,088",6.4%,"15,133",6.8%,,45-49,"27,890",6.2%,"28,796",6.3%,"31,189",6.7%
50-54,"3,326",5.7%,"3,404",5.8%,"3,235",5.5%,,50-54,"13,373",6.2%,"13,698",6.2%,"13,645",6.1%,,50-54,"26,101",5.8%,"26,701",5.9%,"27,177",5.9%
55-59,"3,119",5.3%,"2,992",5.1%,"3,012",5.1%,,55-59,"13,378",6.2%,"12,464",5.6%,"12,529",5.6%,,55-59,"24,986",5.6%,"23,720",5.2%,"24,219",5.2%
60-64,"2,631",4.5%,"2,687",4.5%,"2,612",4.5%,,60-64,"12,292",5.7%,"12,465",5.6%,"11,624",5.2%,,60-64,"21,600",4.8%,"22,469",4.9%,"21,742",4.7%
65-69,"2,141",3.6%,"2,266",3.8%,"2,340",4.0%,,65-69,"10,598",4.9%,"11,193",5.1%,"11,431",5.1%,,65-69,"18,168",4.1%,"19,173",4.2%,"20,332",4.4%
70-74,"1,562",2.7%,"1,802",3.0%,"1,917",3.3%,,70-74,"8,248",3.8%,"9,527",4.3%,"10,097",4.5%,,70-74,"13,992",3.1%,"15,976",3.5%,"17,124",3.7%
75-79,916,1.6%,"1,255",2.1%,"1,472",2.5%,,75-79,"5,033",2.4%,"7,082",3.2%,"8,258",3.7%,,75-79,"8,664",1.9%,"11,835",2.6%,"13,744",3.0%
80-84,567,1.0%,677,1.1%,930,1.6%,,80-84,"3,215",1.5%,"4,149",1.9%,"5,783",2.6%,,80-84,"5,220",1.2%,"7,020",1.5%,"9,604",2.1%
Age 85+,490,0.8%,515,0.9%,619,1.1%,,Age 85+,"3,573",1.7%,"3,848",1.7%,"4,764",2.1%,,Age 85+,"5,389",1.2%,"5,838",1.3%,"7,470",1.6%
,,,,,,,,,,,,,,,,,,,,,,
0 - 2 mile,,,,,,2 - 5 mile,,,,,,5 - 8 mile,,,,,,,,,,
Households by Income,,2025,,2030,,Households by Income,,2025,,2030,,Households by Income,,2025,,2030,,,,,,
,Number,Percent,Number,Percent,,,Number,Percent,Number,Percent,,,Number,Percent,Number,Percent,,,,,,
"<$10,000","1,189",5.6%,"1,112",5.2%,,"<$10,000","4,534",5.0%,"4,194",4.6%,,"<$10,000","10,028",5.2%,"9,125",4.7%,,,,,,
"$10,000-14,999",680,3.2%,587,2.8%,,"$10,000-14,999","3,109",3.4%,"2,711",3.0%,,"$10,000-14,999","5,009",2.6%,"4,467",2.3%,,,,,,
"$15,000-19,999",796,3.7%,620,2.9%,,"$15,000-19,999","2,679",3.0%,"2,129",2.3%,,"$15,000-19,999","5,434",2.8%,"4,356",2.2%,,,,,,
"$20,000-24,999",674,3.2%,547,2.6%,,"$20,000-24,999","3,126",3.5%,"2,589",2.8%,,"$20,000-24,999","5,933",3.1%,"4,958",2.5%,,,,,,
"$25,000-29,999",661,3.1%,511,2.4%,,"$25,000-29,999","2,306",2.6%,"1,830",2.0%,,"$25,000-29,999","4,910",2.6%,"3,875",2.0%,,,,,,
"$30,000-34,999",853,4.0%,719,3.4%,,"$30,000-34,999","3,356",3.7%,"2,839",3.1%,,"$30,000-34,999","6,205",3.2%,"5,304",2.7%,,,,,,
"$35,000-39,999","1,063",5.0%,939,4.4%,,"$35,000-39,999","3,274",3.6%,"2,915",3.2%,,"$35,000-39,999","6,471",3.4%,"5,831",3.0%,,,,,,
"$40,000-44,999",927,4.3%,790,3.7%,,"$40,000-44,999","2,478",2.7%,"2,180",2.4%,,"$40,000-44,999","4,627",2.4%,"4,062",2.1%,,,,,,
"$45,000-49,999",629,2.9%,541,2.6%,,"$45,000-49,999","2,341",2.6%,"2,097",2.3%,,"$45,000-49,999","5,023",2.6%,"4,355",2.2%,,,,,,
"$50,000-59,999","1,559",7.3%,"1,415",6.7%,,"$50,000-59,999","5,739",6.4%,"5,260",5.7%,,"$50,000-59,999","11,504",6.0%,"10,603",5.4%,,,,,,
"$60,000-74,999","2,652",12.4%,"2,549",12.0%,,"$60,000-74,999","8,018",8.9%,"7,466",8.1%,,"$60,000-74,999","17,527",9.2%,"16,651",8.5%,,,,,,
$75000-99999,"2,436",11.4%,"2,384",11.2%,,$75000-99999,"9,120",10.1%,"8,909",9.7%,,$75000-99999,"22,572",11.8%,"22,395",11.4%,,,,,,
"$100,000-124,999","1,471",6.9%,"1,460",6.9%,,"$100,000-124,999","7,326",8.1%,"7,560",8.2%,,"$100,000-124,999","17,585",9.2%,"18,321",9.4%,,,,,,
"$125,000-149,999","1,865",8.7%,"2,138",10.1%,,"$125,000-149,999","7,957",8.8%,"8,831",9.6%,,"$125,000-149,999","15,648",8.2%,"17,713",9.0%,,,,,,
$150000-199999,"1,769",8.3%,"2,153",10.1%,,$150000-199999,"9,101",10.1%,"10,514",11.5%,,$150000-199999,"18,184",9.5%,"21,061",10.7%,,,,,,
"$200,000-249,999",802,3.8%,983,4.6%,,"$200,000-249,999","5,170",5.7%,"6,317",6.9%,,"$200,000-249,999","10,171",5.3%,"12,342",6.3%,,,,,,
"$250,000-299,999",558,2.6%,765,3.6%,,"$250,000-299,999","3,594",4.0%,"4,814",5.2%,,"$250,000-299,999","7,889",4.1%,"10,428",5.3%,,,,,,
"$300,000-399,999",309,1.4%,435,2.1%,,"$300,000-399,999","2,657",2.9%,"3,734",4.1%,,"$300,000-399,999","6,262",3.3%,"8,644",4.4%,,,,,,
"$400,000-499,999",123,0.6%,107,0.5%,,"$400,000-499,999","1,065",1.2%,852,0.9%,,"$400,000-499,999","2,217",1.2%,"1,776",0.9%,,,,,,
"$500,000+",371,1.7%,492,2.3%,,"$500,000+","3,350",3.7%,"4,053",4.4%,,"$500,000+","8,410",4.4%,"9,759",5.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Median Household Income,"US$ 68,567",-,"US$ 77,425",-,,Median Household Income,"US$ 84,979",-,"US$ 102,145",-,,Median Household Income,"US$ 87,941",-,"US$ 102,288",-,,,,,,
Average Household Income,"US$ 97,615",-,"US$ 111,072",-,,Average Household Income,"US$ 128,554",-,"US$ 144,499",-,,Average Household Income,"US$ 137,321",-,"US$ 152,673",-,,,,,,
Per Capita Income,"US$ 35,351",-,"US$ 40,265",-,,Per Capita Income,"US$ 52,650",-,"US$ 59,390",-,,Per Capita Income,"US$ 57,791",-,"US$ 64,705",-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0 - 2 mile,,,,,,,,2 - 5 mile,,,,,,,,5 - 8 mile,,,,,,
Race and Ethnicity,Census 2020,,2025,,2030,,,Race and Ethnicity,Census 2020,,2025,,2030,,,Race and Ethnicity,Census 2020,,2025,,2030,
,Number,Percent,Number,Percent,Number,Percent,,,Number,Percent,Number,Percent,Number,Percent,,,Number,Percent,Number,Percent,Number,Percent
White Alone,"12,605",21.4%,"12,304",20.8%,"11,331",19.3%,,White Alone,"84,902",39.6%,"86,423",39.1%,"83,870",37.5%,,White Alone,"159,046",35.6%,"158,396",34.8%,"153,889",33.3%
Black Alone,"29,964",50.9%,"30,370",51.3%,"30,595",52.1%,,Black Alone,"87,065",40.6%,"89,729",40.6%,"92,285",41.2%,,Black Alone,"160,964",36.0%,"164,376",36.1%,"167,546",36.2%
American Indian,199,0.3%,213,0.4%,210,0.4%,,American Indian,911,0.4%,955,0.4%,953,0.4%,,American Indian,"4,367",1.0%,"4,494",1.0%,"4,658",1.0%
Asian Alone,"10,847",18.4%,"10,826",18.3%,"11,011",18.8%,,Asian Alone,"15,358",7.2%,"16,239",7.4%,"17,529",7.8%,,Asian Alone,"33,173",7.4%,"36,019",7.9%,"39,123",8.5%
Pacific Islander,9,0.0%,8,0.0%,8,0.0%,,Pacific Islander,65,0.0%,61,0.0%,62,0.0%,,Pacific Islander,203,0.1%,179,0.0%,180,0.0%
Some Other Race,"1,878",3.2%,"1,946",3.3%,"1,994",3.4%,,Some Other Race,"11,074",5.2%,"11,344",5.1%,"11,780",5.3%,,Some Other Race,"51,295",11.5%,"52,701",11.6%,"55,719",12.0%
Two or More Races,"3,353",5.7%,"3,516",5.9%,"3,585",6.1%,,Two or More Races,"15,159",7.1%,"16,303",7.4%,"17,360",7.8%,,Two or More Races,"37,572",8.4%,"39,354",8.6%,"41,491",9.0%
,,,,,,,,,,,,,,,,,,,,,,
Hispanic (Any Race),"3,417",5.8%,"3,480",5.9%,"3,572",6.1%,,Hispanic (Any Race),"21,481",10.0%,"21,957",9.9%,"22,934",10.2%,,Hispanic (Any Race),"87,558",19.6%,"89,296",19.6%,"93,946",20.3%
,,,,,,,,,,,,,,,,,,,,,,
Infographic,,,,,,,,,,,,,,,,,,,,,,
Variable,"4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (0 - 2 mile)","4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (2 - 5 mile)","4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (5 - 8 mile)",,,,,,,,,,,,,,,,,,,
2025 Total Population,"59,183","221,054","455,519",,,,,,,,,,,,,,,,,,,
2025 Total Households,"21,387","90,300","191,608",,,,,,,,,,,,,,,,,,,
2025 Average Household Size,2.76,2.37,2.35,,,,,,,,,,,,,,,,,,,
2025 Median Age,33.8,38.0,35.7,,,,,,,,,,,,,,,,,,,
2025 Total Daytime Population,"43,609","218,883","503,547",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Trends: 2025 - 2030 Annual Rate,,,,,,,,,,,,,,,,,,,,,,
Variable,"4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (0 - 2 mile)","4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (2 - 5 mile)","4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (5 - 8 mile)",,,,,,,,,,,,,,,,,,,
Trends: 2022 - 2027 Annual Rate: Population (Area),-0.2,0.3,0.3,,,,,,,,,,,,,,,,,,,
Trends: 2022 - 2027 Annual Rate: Households (Area),-0.1,0.3,0.5,,,,,,,,,,,,,,,,,,,
Trends: 2022 - 2027 Annual Rate: Families (Area),-0.3,0.1,0.2,,,,,,,,,,,,,,,,,,,
Trends: 2022 - 2027 Annual Rate: Owner HHs (Area),0.8,0.5,0.7,,,,,,,,,,,,,,,,,,,
Trends: 2022 - 2027 Annual Rate: Median Household Income (Area),2.5,3.7,3.1,,,,,,,,,,,,,,,,,,,
State Annual Rate - Pop,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,,
State Annual Rate - HH,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,
State Annual Rate - Fam,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,,
State Annual Rate - Owner,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,
State Annual Rate - Income,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,
Trends: 2025 - 2030 Annual Rate: Population (National),0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,
Trends: 2025 - 2030 Annual Rate: Households (National),0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,
Trends: 2025 - 2030 Annual Rate: Families (National),0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,
Trends: 2025 - 2030 Annual Rate: Owner HHs (National),0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Trends: 2025 - 2030 Annual Rate: Median Household Income (National),2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Population by Age,,,,,,,,,,,,,,,,,,,,,,
Variable,"4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (0 - 2 mile)","4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (2 - 5 mile)","4170 E Ponce de Leon Ave, Clarkston, Georgia, 30021 (5 - 8 mile)",,,,,,,,,,,,,,,,,,,
2025 Population Age 0-4: Percent,8.1,5.4,5.6,,,,,,,,,,,,,,,,,,,
2025 Population Age 5-9: Percent,8.0,5.7,5.6,,,,,,,,,,,,,,,,,,,
2025 Population Age 10-14: Percent,6.9,5.8,5.4,,,,,,,,,,,,,,,,,,,
2025 Population Age 15-19: Percent,6.9,5.8,5.5,,,,,,,,,,,,,,,,,,,
2025 Population Age 20-24: Percent,6.8,7.3,7.3,,,,,,,,,,,,,,,,,,,
2025 Population Age 25-29: Percent,7.1,7.5,9.5,,,,,,,,,,,,,,,,,,,
2025 Population Age 30-34: Percent,8.2,7.9,9.9,,,,,,,,,,,,,,,,,,,
2025 Population Age 35-39: Percent,8.1,7.6,8.3,,,,,,,,,,,,,,,,,,,
2025 Population Age 40-44: Percent,7.7,7.0,7.4,,,,,,,,,,,,,,,,,,,
2025 Population Age 45-49: Percent,6.0,6.4,6.3,,,,,,,,,,,,,,,,,,,
2025 Population Age 50-54: Percent,5.8,6.2,5.9,,,,,,,,,,,,,,,,,,,
2025 Population Age 55-59: Percent,5.1,5.6,5.2,,,,,,,,,,,,,,,,,,,
2025 Population Age 60-64: Percent,4.5,5.6,4.9,,,,,,,,,,,,,,,,,,,
